Site ID,Site Lat (N),Site Long (E),N,R,Dec,Inc,k,a95,Lat,Long,dp,dm,Ref
WS-1,-25.71,29.21,11/0,10.853,189,-0.5,67.9,5.6,62.6,49.2,2.8,5.6,Seidel [2004] and this study
J_M11,-25.5,29.46,6,5.633,188,6,13.6,19,66.2,50.2,,,Jones and McElhinny [1966]
J_M12,-26.9,28.53,6,5.983,16,-14.5,292,3.9,65.3,69.3,,,Jones and McElhinny [1966]
J_M13,-25.7,28.53,10,9.878,183,-3,73.5,5.7,62.7,34.6,,,Jones and McElhinny [1966]
TG01,-25.35,31.81,11/13,10.933,191.1,0.9,150.1,3.7,62.9,56.8,1.9,3.7,Seidel [2004] and this study
TG01-K,-25.35,31.81,13/10,12.985,324.7,-68.1,820.5,1.4,52.8,248.9,2,2.4,Seidel [2004] and this study
TG02,-25.35,31.79,11/1,10.629,193.6,0.1,26.9,9,61.5,61.3,4.5,9,Seidel [2004] and this study
TG04,-24.94,31.3,10/2,9.446,188.5,7.9,16.2,12.4,67.5,53.9,6.3,12.4,Seidel [2004] and this study
TG05-AF,-24.55,31.35,8,7.448,20.5,-3.7,12.7,16.2,59.9,75.5,8.1,16.2,Seidel [2004] and this study
TG05-TD,-24.55,31.35,13/2,12.228,210.6,1.6,15.5,10.9,52,87.2,5.4,10.9,Seidel [2004] and this study
TG05B,-24.55,31.35,12/2,11.479,326.9,4.4,21.1,4.4,50.8,39.7,5.6,11.2,this study Gose+06
TG06,-23.91,31.45,11/1,10.529,194.5,-1.3,21.2,10.1,61.8,63.1,5.1,10.1,Seidel [2004] and this study
TG07,-23.9,31.46,9/3,8.958,181.6,-3.5,191.6,3.7,64.3,35.2,1.9,3.7,Seidel [2004] and this study
TG08,-23.23,31.23,11/1,10.4,184,-20.3,16.7,11.5,56,38.3,6.3,12.1,Seidel [2004] and this study
TG11,-24.4,31.59,7/2,6.978,182.3,0.7,274,3.7,65.9,37.1,1.8,3.7,Seidel [2004] and this study
TG12,-23.72,31.31,12/1,10.928,176.9,20.8,10.3,14.2,76.7,17.9,7.9,15,Seidel [2004] and this study
KD01,-25.35,31.81,12/5,11.717,345.4,-67,38.9,7,63.2,233,9.7,11.7,Seidel [2004] and this study
Har_10,-25.2,31.2,8,,190.6,-4.9,170,4.3,61.6,54.2,,,Hargraves et al. [1994]
Henth,-24,31.3,4,,185,1,70,11,66,43.9,,,Henthorn [1981]
VF1,-25.84,27.52,11/1,10.399,22.6,-15.3,16.6,11.5,61.9,81.5,6.1,11.8,Seidel [2004] and this study
M_A2,-27,27.4,,,14.4,-9.5,,26.5,63.8,61.6,,,McDonald and Andersen [1973]
M_A4,-27.1,27.6,,,15.4,-6.7,,13,62.1,62,,,McDonald and Andersen [1973]
M_A6,-26.8,27.5,,,353.3,-19.2,,14,71.7,,,,McDonald and Andersen [1973]
M_A7,-27,27.4,,,354.2,-12.6,,13,68.6,,,,McDonald and Andersen [1973]
M_A10,-27,27.6,,,344.8,-3.4,,23,60.7,,,,McDonald and Andersen [1973]
M_A11,-27.1,27.6,,,1.7,-14.1,,22,70,,,,McDonald and Andersen [1973]
NB2,-22.56,30.86,8/3,7.602,173.4,-53.7,17.6,13.6,32.9,24.4,13.3,19,this study Gose+06
M_O_A,-18,32.8,9,8.757,186,-17,33,9,63,49.5,,,McElhinny and Opdyke [1964]
M_O_B,-18.1,32.9,5,4.985,171.5,-10,267,4.5,65.5,12,,,McElhinny and Opdyke [1964]
M_O_C,-18.2,32.85,8,7.671,184.5,-8,21,12.5,67.5,44.5,,,McElhinny and Opdyke [1964]
M_O_D,-18.45,32.76,10,9.288,168,-5.5,12.6,14,66,21,,,McElhinny and Opdyke [1964]
M_O_E,-19.53,32.63,10,9.902,185,-3.5,92,5,68,46,,,McElhinny and Opdyke [1964]
M_O_F,-19.6,32.8,8,7.966,179.5,-13,206,4,64,31.5,,,McElhinny and Opdyke [1964]
M_O_H,-19.85,32.95,10,9.576,185,-2.5,21,10.5,68.5,46.5,,,McElhinny and Opdyke [1964]
M_O_I,-19.9,32.8,8,6.755,176,-14,5.7,25.5,62.5,24,,,McElhinny and Opdyke [1964]
M_O_J,-20.53,32.66,7,6.57,180.5,-10,14,16.5,64.5,34,,,McElhinny and Opdyke [1964]
McE_1,-20.7,32.46,2,,173,-11,,,63,17,,,McElhinny [1966]
McE_2,-20.7,32.5,1,,178,-8,,,65,27.5,,,McElhinny [1966]
McE_3,-20.71,32.5,3,,159,-19,,,53,356.5,,,McElhinny [1966]
McE_4,-20.53,32.66,7,,180.5,-10,,,64.5,34,,,McElhinny [1966]
McE_5,-20.33,32.15,3,,200,-5,,,60,75,,,McElhinny [1966]
McE_6,-20.25,32.15,1,,177,14,,,76.5,45,,,McElhinny [1966]
McE_7,-20.16,32.18,1,,142,-36,,,69.5,65.5,,,McElhinny [1966]
McE_8,-20.06,31.29,2,,142,-36,,,35.5,349.5,,,McElhinny [1966]
McE_9,-19.7,32.45,1,,164,-38,,,46,336.5,,,McElhinny [1966]
